Starting tumor growth prediction pipeline for Patient-042

--- Phase 1: Fitting FK parameters using week 60 ---
Loading data for week 60...
Found data directory: /scratch/bcsl/jyin15/Tumor/BioPhysModel/parcelled_and_masks/Patient-042/week-060
Running FK parameter optimization with 15 generations...
Starting CMA-ES optimization with 15 generations...
generations  1 / 16
Running forward model with parameters: Dw=0.9437, rho=0.000100, time=50.1
Generation 1, Loss: 0.579763, Time: 7.65s
Running forward model with parameters: Dw=0.9486, rho=0.082016, time=50.1
Generation 1, Loss: 0.645505, Time: 7.88s
Running forward model with parameters: Dw=1.1461, rho=0.119472, time=50.0
Generation 1, Loss: 0.650759, Time: 7.93s
Running forward model with parameters: Dw=1.0460, rho=0.000100, time=50.0
Generation 1, Loss: 0.581203, Time: 7.70s
Running forward model with parameters: Dw=1.1000, rho=0.000100, time=49.9
Generation 1, Loss: 0.614465, Time: 7.37s
Running forward model with parameters: Dw=1.0207, rho=0.186890, time=50.1
Generation 1, Loss: 0.654456, Time: 6.76s
Running forward model with parameters: Dw=0.9422, rho=0.158490, time=49.9
Generation 1, Loss: 0.650457, Time: 6.77s
Running forward model with parameters: Dw=0.9704, rho=0.124703, time=50.1
Generation 1, Loss: 0.652710, Time: 3.96s
Running forward model with parameters: Dw=1.0612, rho=0.168138, time=50.1
Generation 1, Loss: 0.654385, Time: 7.33s
Running forward model with parameters: Dw=1.0037, rho=0.014395, time=49.9
Generation 1, Loss: 0.632635, Time: 3.37s
generations  2 / 16
Running forward model with parameters: Dw=1.2300, rho=0.000100, time=50.0
Generation 2, Loss: 0.623284, Time: 7.85s
Running forward model with parameters: Dw=1.0587, rho=0.113571, time=50.1
Generation 2, Loss: 0.648374, Time: 7.87s
Running forward model with parameters: Dw=0.9641, rho=0.193672, time=50.1
Generation 2, Loss: 0.655031, Time: 7.88s
Running forward model with parameters: Dw=0.8562, rho=0.000100, time=50.1
Generation 2, Loss: 0.597980, Time: 7.67s
Running forward model with parameters: Dw=0.9413, rho=0.000100, time=50.1
Generation 2, Loss: 0.581490, Time: 7.33s
Running forward model with parameters: Dw=1.0921, rho=0.105570, time=50.1
Generation 2, Loss: 0.648317, Time: 6.85s
Running forward model with parameters: Dw=1.0909, rho=0.000100, time=49.9
Generation 2, Loss: 0.600463, Time: 6.80s
Running forward model with parameters: Dw=0.9147, rho=0.000100, time=50.0
Generation 2, Loss: 0.587178, Time: 3.92s
generations  3 / 16
Running forward model with parameters: Dw=0.9121, rho=0.056406, time=50.1
Generation 3, Loss: 0.627180, Time: 7.63s
Running forward model with parameters: Dw=1.0076, rho=0.217721, time=50.2
Generation 3, Loss: 0.656172, Time: 7.85s
Running forward model with parameters: Dw=1.0552, rho=0.113805, time=50.1
Generation 3, Loss: 0.651244, Time: 7.91s
Running forward model with parameters: Dw=0.9012, rho=0.055544, time=50.1
Generation 3, Loss: 0.642629, Time: 7.66s
Running forward model with parameters: Dw=0.9552, rho=0.014845, time=50.2
Generation 3, Loss: 0.549022, Time: 7.34s
Running forward model with parameters: Dw=0.7988, rho=0.000100, time=50.1
Generation 3, Loss: 0.593198, Time: 6.80s
Running forward model with parameters: Dw=0.9142, rho=0.188654, time=50.1
Generation 3, Loss: 0.653036, Time: 6.72s
Running forward model with parameters: Dw=0.9119, rho=0.000100, time=50.0
Generation 3, Loss: 0.581553, Time: 3.97s
generations  4 / 16
Running forward model with parameters: Dw=0.8301, rho=0.225000, time=50.0
Generation 4, Loss: 0.654563, Time: 7.64s
Running forward model with parameters: Dw=1.0420, rho=0.136734, time=50.1
Generation 4, Loss: 0.648401, Time: 7.85s
Running forward model with parameters: Dw=0.9218, rho=0.019435, time=50.0
Generation 4, Loss: 0.568039, Time: 7.85s
Running forward model with parameters: Dw=1.1496, rho=0.000100, time=50.1
Generation 4, Loss: 0.574523, Time: 7.77s
Running forward model with parameters: Dw=0.9484, rho=0.137953, time=49.9
Generation 4, Loss: 0.647942, Time: 7.30s
Running forward model with parameters: Dw=0.8131, rho=0.090892, time=50.1
Generation 4, Loss: 0.642933, Time: 6.79s
Running forward model with parameters: Dw=0.9763, rho=0.000100, time=50.1
Generation 4, Loss: 0.592797, Time: 6.77s
Running forward model with parameters: Dw=0.8986, rho=0.000100, time=50.1
Generation 4, Loss: 0.586990, Time: 3.92s
Running forward model with parameters: Dw=0.9629, rho=0.164924, time=50.2
Generation 4, Loss: 0.651323, Time: 7.39s
Running forward model with parameters: Dw=0.9598, rho=0.000100, time=50.0
Generation 4, Loss: 0.577967, Time: 3.25s
generations  5 / 16
Running forward model with parameters: Dw=0.9016, rho=0.000100, time=50.0
Generation 5, Loss: 0.584324, Time: 7.63s
Running forward model with parameters: Dw=1.0019, rho=0.003910, time=50.2
Generation 5, Loss: 0.565082, Time: 7.94s
Running forward model with parameters: Dw=1.0592, rho=0.000100, time=50.0
Generation 5, Loss: 0.597596, Time: 7.94s
Running forward model with parameters: Dw=1.0961, rho=0.225000, time=50.1
Generation 5, Loss: 0.656050, Time: 7.80s
Running forward model with parameters: Dw=0.9090, rho=0.225000, time=49.8
Generation 5, Loss: 0.657281, Time: 7.38s
Running forward model with parameters: Dw=1.0235, rho=0.017919, time=49.9
Generation 5, Loss: 0.583047, Time: 6.80s
Running forward model with parameters: Dw=1.1131, rho=0.206688, time=50.0
Generation 5, Loss: 0.656855, Time: 6.85s
Running forward model with parameters: Dw=0.8945, rho=0.000100, time=49.9
Generation 5, Loss: 0.580096, Time: 4.01s
Running forward model with parameters: Dw=0.9717, rho=0.224707, time=49.8
Generation 5, Loss: 0.656888, Time: 7.35s
Running forward model with parameters: Dw=0.9630, rho=0.000100, time=50.2
Generation 5, Loss: 0.577782, Time: 3.31s
generations  6 / 16
Running forward model with parameters: Dw=0.9269, rho=0.000100, time=50.0
Generation 6, Loss: 0.578781, Time: 7.65s
Running forward model with parameters: Dw=1.1034, rho=0.048995, time=50.1
Generation 6, Loss: 0.588587, Time: 7.85s
Running forward model with parameters: Dw=0.9645, rho=0.000100, time=50.2
Generation 6, Loss: 0.582154, Time: 7.86s
Running forward model with parameters: Dw=0.8630, rho=0.000100, time=50.2
Generation 6, Loss: 0.595701, Time: 7.67s
Running forward model with parameters: Dw=0.9696, rho=0.000100, time=50.1
Generation 6, Loss: 0.590764, Time: 7.33s
Running forward model with parameters: Dw=1.0989, rho=0.145210, time=50.0
Generation 6, Loss: 0.649829, Time: 6.83s
Running forward model with parameters: Dw=1.1939, rho=0.121279, time=49.9
Generation 6, Loss: 0.651234, Time: 6.86s
Running forward model with parameters: Dw=0.9801, rho=0.042191, time=50.0
Generation 6, Loss: 0.575570, Time: 3.92s
generations  7 / 16
Running forward model with parameters: Dw=1.1482, rho=0.000100, time=50.0
Generation 7, Loss: 0.579402, Time: 7.78s
Running forward model with parameters: Dw=1.1144, rho=0.093923, time=50.0
Generation 7, Loss: 0.644867, Time: 7.92s
Running forward model with parameters: Dw=1.0923, rho=0.065280, time=49.9
Generation 7, Loss: 0.633326, Time: 7.92s
